loan_id,customer_id,loan_purpose,loan_type,loan_amount,interest_rate,tenure_months,emi_amount,disbursement_date,maturity_date,repayment_frequency,loan_status,num_payments_made,outstanding_balance,collateral_value,num_late_payments,penalty_charges,loan_officer_id,branch_code,insurance_taken
LOAN000011,CUST00168,Vehicle,Secured,370634.52,10.87,84,6320.86,2023-04-08,2030-03-02,Monthly,Closed,180,177211.95,118484.01,2,20113.37,LO185,BR26,False
LOAN000012,CUST03477,Personal,Secured,364622.0,17.72,240,5548.81,2019-04-30,2039-01-15,Monthly,Defaulted,212,92440.57,639975.68,14,25925.33,LO139,BR38,False
LOAN000013,CUST03445,Home,Unsecured,70891.17,21.83,36,2701.14,2022-09-03,2025-08-18,Monthly,Active,41,36516.74,126523.74,19,4402.35,LO160,BR24,False
LOAN000014,CUST03828,Vehicle,Unsecured,517401.97,21.47,240,9390.32,2020-11-11,2040-07-29,Monthly,Defaulted,179,39943.79,62544.97,9,17956.03,LO182,BR49,True
LOAN000015,CUST08708,Medical,Secured,206274.42,21.95,36,7872.38,2018-04-25,2021-04-09,Monthly,Closed,101,34461.8,84303.0,5,49720.78,LO141,BR45,True
LOAN000016,CUST02108,Home,Unsecured,522660.33,14.05,24,25106.78,2019-10-03,2021-09-22,Monthly,Active,65,106316.25,582751.95,7,906.04,LO197,BR46,False
LOAN000017,CUST02812,Vehicle,Secured,322120.03,,84,4888.47,2019-10-09,2026-09-02,Quarterly,Active,50,44957.99,,,,LO114,BR25,True
LOAN000018,CUST08643,Home,Unsecured,98073.0,17.79,60,2479.22,2022-06-06,2027-05-11,Monthly,Closed,138,62625.05,173854.93,7,43366.45,LO181,BR10,True
LOAN000019,CUST04765,Travel,Secured,216496.65,16.79,120,3733.9,2019-03-27,2029-02-02,Quarterly,Active,172,56378.01,230790.08,6,3617.06,LO100,BR15,True
LOAN000020,CUST01638,Personal,Secured,661688.87,21.49,36,25095.95,2019-06-05,2022-05-20,Bi-Annual,Active,233,238416.81,949324.49,4,40087.0,LO137,BR37,False
LOAN000021,CUST09621,Home,Secured,3060791.96,12.25,240,34236.94,2020-03-12,2039-11-28,Quarterly,Closed,105,1511053.3,3476425.91,5,3438.21,LO123,BR17,False
LOAN000022,CUST06438,Education,Unsecured,130880.57,21.91,12,12244.02,2020-11-12,2021-11-07,Quarterly,Under Review,24,59917.46,222070.83,11,46076.99,LO134,BR21,True
LOAN000023,CUST04302,Home,Secured,80032.21,7.52,36,2490.23,2020-11-11,2023-10-27,Monthly,Active,153,36022.68,150561.22,19,15968.57,LO117,BR40,True
LOAN000024,CUST02092,Vehicle,Secured,260359.75,12.06,60,5799.46,2021-10-21,2026-09-25,Monthly,Active,102,247832.01,24890.39,1,25537.44,LO141,BR48,False
LOAN000025,CUST09431,Medical,Unsecured,327353.5,17.97,36,11829.69,2023-01-12,2025-12-27,Monthly,Active,226,171599.97,567658.46,7,27615.6,LO171,BR19,True
LOAN000026,CUST03891,Personal,Secured,425771.56,16.04,36,14977.27,2019-12-15,2022-11-29,Monthly,Closed,195,313954.7,541331.23,9,32276.44,LO133,BR29,True
LOAN000027,CUST05189,Personal,Unsecured,599946.9,9.69,240,5666.94,2020-12-28,2040-09-14,Monthly,Defaulted,22,554833.93,1156562.63,5,21290.46,LO150,BR21,True
LOAN000028,CUST00782,Education,Unsecured,385004.45,12.04,240,4249.97,2020-12-11,2040-08-28,Quarterly,Active,188,131234.33,590480.92,16,29167.4,LO147,BR34,False
LOAN000029,CUST07567,Business,Unsecured,145275.89,9.02,84,2338.83,2018-12-24,2025-11-17,Monthly,Active,122,57441.99,289464.25,15,43434.99,LO166,BR18,False
LOAN000030,CUST07292,Vehicle,Unsecured,357185.14,21.91,120,7361.03,2023-02-09,2032-12-18,Quarterly,Defaulted,224,352819.58,364399.85,3,46915.92,LO175,BR42,True
LOAN000031,CUST08203,Wedding,Unsecured,105187.5,14.47,240,1344.09,2022-10-30,2042-07-17,Bi-Annual,Active,190,66591.33,150799.9,13,31160.55,LO174,BR15,True
LOAN000032,CUST06877,Medical,Unsecured,81697.27,19.94,84,1811.24,2021-01-14,2027-12-09,Monthly,Under Review,108,41156.79,97112.92,4,39167.39,LO126,BR14,False
LOAN000033,CUST05704,Home,Unsecured,706758.94,12.61,84,12707.96,2024-01-13,2030-12-07,Monthly,Active,179,498409.33,391439.9,9,2034.99,LO125,BR30,True
LOAN000034,CUST03442,Medical,Secured,604771.97,10.28,12,53247.85,2020-01-24,2021-01-18,Monthly,Active,55,555147.44,374530.26,15,921.24,LO131,BR11,True
LOAN000035,CUST03477,Home,Unsecured,49518.43,14.06,12,4447.52,2022-09-28,2023-09-23,Monthly,Active,30,27269.17,32636.23,2,18723.77,LO143,BR38,True
LOAN000036,CUST03727,Home,Unsecured,695627.06,18.43,36,25298.89,2019-01-30,2022-01-14,Monthly,Active,200,499663.87,1310752.33,16,47402.61,LO161,BR17,False
LOAN000037,CUST06113,Personal,Secured,302829.26,20.61,240,5289.91,2021-05-18,2041-02-02,Monthly,Closed,94,282436.48,378165.63,2,12255.28,LO111,BR36,True
LOAN000038,CUST07407,Home,Secured,614416.04,9.49,180,6412.18,2023-11-22,2038-09-04,Monthly,Active,102,595564.57,1132675.48,8,14885.1,LO157,BR44,False
LOAN000039,CUST03815,Education,Secured,69637.0,8.48,36,2197.62,2018-10-27,2021-10-11,Monthly,Closed,8,11913.76,110438.24,1,19744.63,LO155,BR46,False
LOAN000040,CUST01817,Business,Secured,163185.48,9.0,48,4060.88,2018-04-16,2022-03-26,Bi-Annual,Closed,152,55081.79,93281.77,8,42886.93,LO170,BR18,False
LOAN000041,CUST03953,Personal,Secured,152661.34,11.2,120,2120.23,2024-06-26,2034-05-05,Monthly,Closed,212,152064.88,64777.93,7,25774.87,LO191,BR23,True
LOAN000042,CUST08110,Personal,Secured,225709.19,15.78,36,7910.77,2021-10-25,2024-10-09,Monthly,Closed,73,190041.97,300819.47,11,37563.03,LO146,BR19,True
LOAN000043,CUST03921,Vehicle,Unsecured,289104.61,17.93,240,4446.22,2023-05-14,2043-01-29,Bi-Annual,Closed,16,264926.68,504319.57,1,41455.08,LO124,BR17,False
LOAN000044,CUST08192,Home,Unsecured,46383.76,12.15,60,1035.3,2023-10-02,2028-09-05,Quarterly,Under Review,50,37350.8,38267.05,13,24083.81,LO164,BR41,False
LOAN000045,CUST03966,Medical,Unsecured,173363.37,20.74,240,3046.15,2018-10-18,2038-07-05,Quarterly,Closed,42,129930.71,49714.96,2,19135.48,LO134,BR17,False
LOAN000046,CUST04447,Personal,Unsecured,180036.85,13.64,12,16134.51,2024-04-20,2025-04-15,Monthly,Closed,17,40559.62,280536.68,7,39149.45,LO175,BR15,False
LOAN000047,CUST00127,Personal,Secured,158978.7,14.07,240,1985.02,2020-09-27,2040-06-14,Monthly,Active,215,99866.58,2592.32,3,3334.86,LO178,BR27,False
LOAN000048,CUST04530,Home,Secured,211102.11,,60,5621.14,2020-04-14,2025-03-19,Bi-Annual,Active,37,163891.31,,,,LO134,BR34,True
LOAN000049,CUST03314,Business,Secured,1664595.91,7.47,48,40224.8,2023-10-29,2027-10-08,Bi-Annual,Active,203,1419653.51,1993669.37,0,33885.78,LO102,BR39,False
LOAN000050,CUST04792,Wedding,Unsecured,244577.65,15.93,120,4086.33,2018-03-11,2028-01-18,Monthly,Closed,202,42354.26,292235.4,14,34816.45,LO166,BR30,False
LOAN000051,CUST01537,Business,Secured,74376.23,15.18,120,1208.16,2023-07-05,2033-05-13,Quarterly,Active,6,54494.03,15268.32,10,5463.26,LO194,BR23,False
LOAN000052,CUST06409,Home,Secured,449501.54,12.72,48,11996.63,2018-02-21,2022-01-31,Bi-Annual,Closed,141,42399.36,878185.41,19,22179.29,LO134,BR12,True
LOAN000053,CUST09520,Travel,Unsecured,544791.91,13.19,240,6456.53,2020-06-24,2040-03-11,Monthly,Closed,35,485844.29,802910.46,1,3064.37,LO194,BR15,False
LOAN000054,CUST04826,Personal,Unsecured,464828.63,17.18,36,16614.08,2020-09-05,2023-08-21,Monthly,Closed,210,129764.32,672303.11,9,25750.33,LO157,BR30,False
LOAN000055,CUST09914,Medical,Secured,148710.39,15.32,48,4162.88,2019-04-20,2023-03-30,Monthly,Under Review,109,52460.41,116905.53,14,30435.51,LO159,BR41,True
LOAN000056,CUST05165,Personal,Unsecured,656795.31,16.66,24,32366.25,2021-12-07,2023-11-27,Monthly,Active,223,30229.81,536876.43,5,34979.2,LO118,BR13,False
LOAN000057,CUST02322,Education,Secured,422537.5,13.32,84,7760.49,2022-06-01,2029-04-25,Bi-Annual,Active,198,267231.47,204591.11,6,24585.08,LO160,BR31,True
LOAN000058,CUST02755,Home,Unsecured,495410.47,,84,8942.61,2022-09-08,2029-08-02,Monthly,Closed,218,3152.76,,,,LO178,BR32,False
LOAN000059,CUST00163,Travel,Unsecured,384460.84,14.55,60,9055.73,2023-06-03,2028-05-07,Monthly,Active,36,83680.51,387895.77,11,10679.55,LO157,BR38,False
LOAN000060,CUST07162,Home,Secured,582288.24,13.1,120,8728.57,2018-02-08,2027-12-18,Monthly,Active,86,5063.04,59103.07,3,19003.54,LO119,BR12,True
LOAN000061,CUST03481,Business,Unsecured,291450.75,19.6,84,6402.0,2021-10-25,2028-09-18,Monthly,Closed,53,214123.7,82510.77,13,38696.73,LO165,BR16,True
LOAN000062,CUST07309,Education,Unsecured,360363.69,20.02,120,6969.01,2020-03-02,2030-01-09,Monthly,Active,171,321247.27,93496.29,0,38612.51,LO103,BR27,False
LOAN000063,CUST04665,Personal,Unsecured,196395.29,7.64,60,3948.44,2020-10-14,2025-09-18,Monthly,Defaulted,98,155470.55,215064.75,0,27797.98,LO179,BR25,False
LOAN000064,CUST04925,Medical,Unsecured,193048.34,7.42,180,1780.82,2018-06-14,2033-03-27,Monthly,Active,239,125540.73,154170.68,4,48385.22,LO117,BR11,False
LOAN000065,CUST04438,Education,Unsecured,1028672.53,10.98,12,90906.19,2023-12-23,2024-12-17,Monthly,Closed,37,983483.55,919027.73,8,39447.44,LO163,BR19,False
LOAN000066,CUST04306,Personal,Secured,175483.01,7.83,240,1449.3,2021-09-06,2041-05-24,Monthly,Closed,186,141110.44,245119.32,12,14594.49,LO158,BR38,True
LOAN000067,CUST06769,Home,Unsecured,208988.87,14.87,24,10120.27,2018-12-21,2020-12-10,Monthly,Active,24,192543.55,351463.78,6,17197.14,LO195,BR35,True
LOAN000068,CUST02617,Personal,Unsecured,199889.47,6.83,84,3000.28,2024-01-03,2030-11-27,Monthly,Active,196,19253.65,353184.74,10,1428.26,LO109,BR38,False
LOAN000069,CUST03499,Medical,Unsecured,342795.49,18.67,84,7340.06,2020-03-27,2027-02-19,Monthly,Closed,80,91617.48,548767.22,9,26928.14,LO138,BR49,False
LOAN000070,CUST06769,Medical,Secured,83220.56,16.56,60,2048.61,2024-02-03,2029-01-07,Monthly,Under Review,23,25578.07,111348.65,8,12984.11,LO100,BR46,False
LOAN000071,CUST09903,Vehicle,Secured,141659.74,9.78,240,1346.46,2022-04-28,2042-01-13,Monthly,Defaulted,110,133183.94,219727.15,2,5952.5,LO103,BR17,False
LOAN000072,CUST00298,Personal,Unsecured,225155.49,11.61,60,4964.2,2018-08-24,2023-07-29,Monthly,Closed,24,134549.39,361803.1,18,46790.57,LO187,BR42,False
LOAN000073,CUST01412,Education,Unsecured,284169.3,11.24,24,13276.2,2022-06-16,2024-06-05,Monthly,Active,12,126664.2,383561.17,5,20228.7,LO136,BR18,True
LOAN000074,CUST08601,Personal,Unsecured,100331.76,20.8,120,1992.48,2024-05-18,2034-03-27,Monthly,Defaulted,100,16362.36,133657.74,3,16158.33,LO148,BR27,True
LOAN000075,CUST02850,Business,Unsecured,369260.67,20.25,180,6553.62,2022-07-08,2037-04-20,Monthly,Closed,95,182491.4,702328.53,19,41450.54,LO132,BR27,True
LOAN000076,CUST01592,Education,Unsecured,160583.44,15.25,36,5586.36,2020-01-19,2023-01-03,Monthly,Closed,69,156861.93,107868.72,9,35770.25,LO106,BR10,False
LOAN000077,CUST07662,Business,Secured,289361.37,12.14,24,13640.17,2021-06-13,2023-06-03,Monthly,Active,42,65609.87,253007.41,15,27395.43,LO167,BR27,True
LOAN000078,CUST08261,Home,Secured,624568.0,13.66,12,55978.29,2024-02-21,2025-02-15,Monthly,Active,211,214949.76,896821.96,8,33940.81,LO163,BR19,False
LOAN000079,CUST02604,Education,Unsecured,311003.35,15.3,12,28114.68,2022-01-31,2023-01-26,Monthly,Closed,189,106109.72,126506.69,9,46958.62,LO176,BR44,False
LOAN000080,CUST08135,Wedding,Unsecured,420227.76,14.13,84,7905.28,2022-09-03,2029-07-28,Monthly,Active,86,19569.35,527028.18,15,46400.49,LO169,BR24,True
LOAN000081,CUST02140,Travel,Unsecured,110423.16,7.47,36,3433.33,2024-05-31,2027-05-16,Monthly,Defaulted,201,21895.46,219409.39,17,13059.22,LO112,BR18,True
LOAN000082,CUST09034,Vehicle,Unsecured,77024.63,13.67,12,6903.87,2018-12-21,2019-12-16,Bi-Annual,Active,8,53440.43,147303.66,18,12677.42,LO160,BR26,False
LOAN000083,CUST00158,Personal,Unsecured,543960.16,20.76,60,14642.61,2018-09-18,2023-08-23,Bi-Annual,Defaulted,226,147669.53,295250.93,1,19306.76,LO130,BR20,False
LOAN000084,CUST05500,Business,Secured,902035.85,12.83,12,80495.46,2018-06-25,2019-06-20,Quarterly,Active,225,417421.2,462096.06,0,7386.8,LO155,BR11,True
LOAN000085,CUST05315,Wedding,Unsecured,803389.39,17.37,240,12010.69,2020-03-06,2039-11-22,Quarterly,Active,24,688813.32,177939.52,10,38518.93,LO114,BR12,True
LOAN000086,CUST06428,Home,Secured,116769.63,21.95,48,3675.78,2018-02-25,2022-02-04,Monthly,Closed,144,93298.1,73920.48,12,24831.84,LO165,BR48,False
LOAN000087,CUST02663,Education,Unsecured,164632.87,15.06,12,14864.15,2024-02-01,2025-01-26,Bi-Annual,Active,88,136111.59,188525.92,1,15749.98,LO167,BR31,False
LOAN000088,CUST07024,Wedding,Unsecured,53372.76,13.99,60,1241.61,2022-12-11,2027-11-15,Monthly,Closed,163,41498.35,106199.56,3,19372.51,LO143,BR27,False
LOAN000089,CUST09941,Vehicle,Secured,134951.12,10.68,240,1363.68,2022-01-08,2041-09-25,Quarterly,Active,203,57808.51,96226.01,15,14681.32,LO157,BR15,True
LOAN000090,CUST03285,Business,Unsecured,239478.05,10.05,84,3981.81,2023-12-03,2030-10-27,Bi-Annual,Closed,115,146788.11,469278.79,15,30803.61,LO195,BR12,False
LOAN000091,CUST01195,Business,Secured,366117.63,15.11,240,4850.78,2022-04-26,2042-01-11,Monthly,Closed,114,71797.4,613179.24,1,23152.12,LO143,BR42,False
LOAN000092,CUST04910,Personal,Secured,279490.27,16.98,120,4853.93,2020-05-22,2030-03-31,Monthly,Active,0,236904.12,429587.54,11,31357.27,LO119,BR28,False
LOAN000093,CUST05077,Travel,Secured,573992.3,13.13,12,51302.44,2024-03-24,2025-03-19,Quarterly,Active,89,42957.59,863261.13,13,32857.69,LO134,BR18,True
LOAN000094,CUST09627,Home,Unsecured,554934.95,6.53,84,8248.53,2018-04-26,2025-03-20,Monthly,Under Review,85,526232.32,258325.79,2,9581.92,LO146,BR48,True
LOAN000095,CUST09053,Business,Unsecured,262814.64,15.18,84,5098.05,2020-11-25,2027-10-20,Bi-Annual,Closed,229,217827.05,41255.1,0,36873.24,LO120,BR39,False
LOAN000096,CUST01035,Personal,Unsecured,464744.35,15.36,120,7600.74,2018-08-14,2028-06-22,Bi-Annual,Defaulted,43,94970.67,862710.3,2,2074.61,LO114,BR48,True
LOAN000097,CUST00327,Education,Unsecured,274590.09,7.63,12,23839.21,2021-04-29,2022-04-24,Monthly,Active,203,209041.63,209370.53,15,38072.69,LO149,BR36,False
LOAN000098,CUST05353,Personal,Secured,627526.45,8.07,60,12745.01,2021-01-02,2025-12-07,Quarterly,Closed,41,205182.11,422058.85,13,32948.3,LO137,BR40,False
LOAN000099,CUST06723,Personal,Unsecured,737021.92,11.22,60,16105.62,2019-02-05,2024-01-10,Monthly,Active,179,519264.69,167842.78,18,27845.97,LO121,BR35,True
LOAN000100,CUST05537,Personal,Unsecured,327858.45,15.77,36,11489.34,2022-05-12,2025-04-26,Monthly,Active,98,53187.78,250172.41,3,4050.68,LO183,BR28,True
LOAN000101,CUST00815,Education,Unsecured,367045.23,,120,4697.38,2018-11-01,2028-09-09,Monthly,Closed,172,315321.22,,,,LO104,BR18,True
LOAN000102,CUST00112,Personal,Secured,369276.43,11.84,36,12237.06,2022-06-11,2025-05-26,Quarterly,Active,220,245746.13,432336.7,11,31143.7,LO188,BR36,False
LOAN000103,CUST02729,Medical,Secured,215630.16,8.78,48,5343.47,2022-07-21,2026-06-30,Quarterly,Active,140,59596.82,419234.77,9,24596.93,LO111,BR25,True
LOAN000104,CUST05385,Business,Secured,717206.08,11.7,60,15845.34,2019-02-05,2024-01-10,Monthly,Active,1,636949.44,1300837.21,16,1317.82,LO114,BR24,True
LOAN000105,CUST04748,Home,Unsecured,71296.83,17.79,120,1275.04,2020-04-04,2030-02-11,Monthly,Active,21,41381.36,46828.98,5,45161.59,LO194,BR23,False
LOAN000106,CUST05260,Business,Unsecured,315967.34,12.29,48,8365.69,2018-01-15,2021-12-25,Monthly,Active,118,237890.29,536703.56,1,44209.29,LO166,BR17,False
LOAN000107,CUST09826,Travel,Secured,419749.62,19.17,180,7115.98,2022-06-16,2037-03-29,Monthly,Active,62,414917.24,671296.74,12,283.81,LO106,BR22,False
LOAN000108,CUST02739,Wedding,Secured,258976.95,20.88,240,4579.11,2020-04-03,2039-12-20,Monthly,Closed,68,116050.5,66313.22,9,49759.91,LO167,BR20,False
LOAN000109,CUST08162,Personal,Secured,182088.76,11.26,240,1911.82,2021-09-04,2041-05-22,Monthly,Active,129,44589.85,20045.87,2,35559.28,LO121,BR32,False
LOAN000110,CUST02846,Travel,Unsecured,655979.92,16.14,48,18637.72,2021-03-09,2025-02-16,Monthly,Closed,194,546846.68,614963.89,11,42102.02,LO199,BR36,False
LOAN000111,CUST08617,Home,Unsecured,91856.89,10.57,24,4262.94,2023-11-26,2025-11-15,Monthly,Active,156,16395.59,94797.26,12,24526.16,LO187,BR21,False
LOAN000112,CUST08067,Personal,Secured,478227.31,15.32,240,6410.61,2021-12-02,2041-08-19,Monthly,Closed,208,113868.39,907342.45,2,14970.73,LO183,BR15,False
LOAN000113,CUST04023,Personal,Unsecured,197695.33,,12,17229.22,2020-03-04,2021-02-27,Monthly,Active,204,86341.13,,,,LO177,BR21,False
LOAN000114,CUST03962,Home,Secured,90620.16,15.84,60,2196.01,2024-06-06,2029-05-11,Quarterly,Closed,22,79810.01,67530.67,11,40385.51,LO141,BR50,True
LOAN000115,CUST02407,Vehicle,Unsecured,317423.28,9.18,84,5136.09,2022-09-14,2029-08-08,Bi-Annual,Closed,65,107920.46,253341.84,14,25795.74,LO132,BR39,True
LOAN000116,CUST00490,Personal,Unsecured,98010.11,12.6,24,4641.19,2018-12-28,2020-12-17,Monthly,Active,24,84404.75,99572.68,17,42170.31,LO180,BR27,False
LOAN000117,CUST04401,Home,Secured,113392.32,10.17,12,9977.95,2018-02-22,2019-02-17,Monthly,Closed,157,76754.51,112522.43,2,45635.57,LO171,BR15,False
LOAN000118,CUST09289,Personal,Secured,224347.32,18.83,60,5798.73,2021-04-05,2026-03-10,Quarterly,Active,198,87212.44,422686.37,10,2600.65,LO183,BR29,False
LOAN000119,CUST09434,Education,Secured,628737.28,9.32,24,28816.1,2023-10-11,2025-09-30,Monthly,Closed,80,185036.15,279733.6,0,28143.25,LO140,BR10,False
LOAN000120,CUST05055,Travel,Unsecured,580921.61,21.43,84,13404.88,2018-03-23,2025-02-14,Monthly,Active,132,182331.65,526309.93,12,30815.37,LO117,BR31,True
LOAN000121,CUST02675,Medical,Unsecured,348850.92,8.35,240,2994.37,2023-10-11,2043-06-28,Bi-Annual,Active,165,71932.9,309637.48,1,39922.26,LO110,BR33,False
LOAN000122,CUST08870,Business,Unsecured,434947.73,12.91,12,38829.98,2024-04-20,2025-04-15,Quarterly,Closed,216,173946.29,707697.08,4,41815.83,LO193,BR16,False
LOAN000123,CUST06561,Vehicle,Secured,452155.84,18.41,120,8266.9,2018-01-25,2027-12-04,Monthly,Active,1,335810.1,416605.22,10,12811.53,LO110,BR37,False
LOAN000124,CUST03726,Home,Secured,108526.74,8.32,48,2665.79,2021-07-12,2025-06-21,Quarterly,Under Review,202,35605.59,89130.26,3,37909.37,LO183,BR18,False
LOAN000125,CUST00522,Personal,Secured,1114686.9,11.37,12,98710.36,2023-05-14,2024-05-08,Monthly,Active,191,204652.57,2063941.59,12,16925.97,LO117,BR48,False
LOAN000126,CUST03756,Vehicle,Secured,166000.12,13.52,84,3066.99,2020-12-09,2027-11-03,Bi-Annual,Defaulted,180,57818.98,252314.16,7,13805.74,LO114,BR39,False
LOAN000127,CUST06016,Home,Unsecured,79726.28,18.32,48,2355.31,2023-11-12,2027-10-22,Monthly,Active,239,31589.63,120360.24,3,26985.78,LO188,BR39,False
LOAN000128,CUST09625,Personal,Secured,68009.03,18.7,48,2022.73,2023-06-09,2027-05-19,Monthly,Closed,194,63886.18,23661.94,17,31355.11,LO146,BR19,True
LOAN000129,CUST02516,Personal,Secured,45517.64,19.76,84,1004.21,2022-01-15,2028-12-09,Quarterly,Active,140,28240.21,43326.71,11,10781.5,LO173,BR49,False
LOAN000130,CUST08779,Medical,Secured,129264.12,11.25,84,2230.34,2023-12-11,2030-11-04,Monthly,Closed,52,110219.6,38975.67,8,22498.54,LO139,BR14,False
LOAN000131,CUST08243,Personal,Secured,200976.7,6.74,240,1526.96,2020-11-02,2040-07-20,Monthly,Closed,171,74129.6,42342.77,10,20476.57,LO154,BR35,False
LOAN000132,CUST04386,Education,Secured,179748.12,17.65,180,2849.55,2018-08-08,2033-05-21,Monthly,Closed,147,177716.15,204377.92,3,3956.01,LO131,BR17,False
LOAN000133,CUST08260,Business,Secured,196756.74,,180,2016.76,2019-11-25,2034-09-07,Monthly,Closed,104,42872.38,,,,LO124,BR36,False
LOAN000134,CUST06201,Education,Unsecured,129593.18,12.55,240,1476.93,2021-05-14,2041-01-29,Monthly,Active,87,47667.45,174794.08,7,26429.13,LO131,BR47,False
LOAN000135,CUST05988,Home,Secured,366501.96,18.98,48,10954.58,2020-09-25,2024-09-04,Monthly,Closed,193,103075.87,708345.39,2,16481.98,LO171,BR24,True
LOAN000136,CUST03253,Business,Unsecured,451418.31,15.96,120,7550.6,2023-08-17,2033-06-25,Monthly,Active,122,370296.62,595234.16,5,13309.8,LO113,BR27,False
LOAN000137,CUST03892,Personal,Secured,380126.19,20.04,60,10079.48,2023-02-27,2028-02-01,Monthly,Under Review,218,133748.4,520749.08,2,3495.75,LO196,BR46,False
LOAN000138,CUST02972,Wedding,Unsecured,44194.33,16.62,12,4022.77,2018-09-30,2019-09-25,Monthly,Active,25,37791.53,75242.03,6,13730.08,LO195,BR36,True
LOAN000139,CUST00330,Personal,Secured,323201.86,12.43,36,10801.43,2020-06-01,2023-05-17,Monthly,Closed,98,144408.53,589554.6,3,9845.75,LO160,BR15,False
LOAN000140,CUST06448,Home,Secured,206744.06,7.01,120,2401.54,2024-01-15,2033-11-23,Monthly,Active,134,76160.59,195119.15,0,49835.39,LO172,BR39,True
LOAN000141,CUST07881,Business,Unsecured,172140.46,6.73,36,5293.97,2019-08-06,2022-07-21,Monthly,Active,23,76725.42,161466.05,3,14313.98,LO185,BR29,False
LOAN000142,CUST09606,Personal,Unsecured,748663.38,10.4,240,7424.28,2023-02-21,2042-11-08,Monthly,Closed,108,478756.17,1106754.62,12,43321.35,LO168,BR35,False
LOAN000143,CUST04389,Home,Secured,416331.52,16.52,48,11910.12,2024-05-15,2028-04-24,Bi-Annual,Active,172,58697.02,673994.79,4,34132.13,LO132,BR26,True
LOAN000144,CUST07997,Personal,Unsecured,77503.72,,24,3853.22,2020-07-30,2022-07-20,Monthly,Closed,14,18725.34,,,,LO118,BR45,False
LOAN000145,CUST04324,Education,Unsecured,691975.3,11.83,84,12152.43,2021-10-17,2028-09-10,Monthly,Closed,78,113985.38,291668.05,10,4859.07,LO156,BR38,False
LOAN000146,CUST01193,Travel,Unsecured,117874.21,19.61,120,2247.59,2021-02-26,2031-01-05,Monthly,Closed,121,50353.12,77299.83,14,40739.89,LO153,BR50,True
LOAN000147,CUST05556,Business,Secured,181484.24,21.12,240,3243.38,2020-12-13,2040-08-30,Bi-Annual,Closed,235,30863.25,322690.17,3,48039.31,LO175,BR42,False
LOAN000148,CUST05922,Personal,Secured,235702.12,11.12,12,20844.94,2021-01-05,2021-12-31,Monthly,Closed,151,108833.47,211628.13,1,37507.14,LO105,BR21,False
LOAN000149,CUST03337,Business,Unsecured,72540.73,11.95,84,1278.6,2021-10-10,2028-09-03,Monthly,Defaulted,42,39980.34,75572.6,6,46297.46,LO112,BR13,True
LOAN000150,CUST08233,Personal,Secured,202225.25,12.78,60,4578.5,2024-01-27,2028-12-31,Quarterly,Defaulted,0,81725.99,300796.82,12,40282.29,LO159,BR40,False
LOAN000151,CUST07910,Travel,Secured,102066.64,10.81,24,4748.11,2018-04-06,2020-03-26,Monthly,Closed,16,2233.16,2497.59,3,5555.6,LO159,BR47,True
LOAN000152,CUST03438,Business,Secured,205613.87,16.52,84,4145.05,2021-11-01,2028-09-25,Monthly,Active,48,70953.4,343152.23,18,35199.27,LO103,BR31,False
LOAN000153,CUST09920,Wedding,Secured,456406.38,20.59,12,42407.96,2022-11-28,2023-11-23,Monthly,Active,22,202334.9,758716.71,5,23275.39,LO148,BR19,False
