loan_id,customer_id,loan_purpose,loan_type,loan_amount,interest_rate,tenure_months,emi_amount,disbursement_date,maturity_date,repayment_frequency,loan_status,num_payments_made,outstanding_balance,collateral_value,num_late_payments,penalty_charges,loan_officer_id,branch_code,insurance_taken,loan_duration_years,total_repayment,total_interest_paid,default_flag,ltv_ratio,risk_category
LOAN000038,CUST07407,Home,Secured,614416.04,9.49,180,6412.18,2023-11-22,2038-09-04,Monthly,Active,102,595564.57,1132675.48,8.0,14885.1,LO157,BR44,False,15.0,1154192.4,539776.36,False,0.5424,Medium
LOAN000039,CUST03815,Education,Secured,69637.0,8.48,36,2197.62,2018-10-27,2021-10-11,Monthly,Closed,8,11913.76,110438.24,1.0,19744.63,LO155,BR46,False,3.0,79114.32,9477.32,False,0.6306,Low
LOAN000040,CUST01817,Business,Secured,163185.48,9.0,48,4060.88,2018-04-16,2022-03-26,Bi-Annual,Closed,152,55081.79,93281.77,8.0,42886.93,LO170,BR18,False,4.0,194922.24,31736.76,False,1.7494,Medium
LOAN000041,CUST03953,Personal,Secured,152661.34,11.2,120,2120.23,2024-06-26,2034-05-05,Monthly,Closed,212,152064.88,64777.93,7.0,25774.87,LO191,BR23,True,10.0,254427.6,101766.26,False,2.3567,Medium
LOAN000042,CUST08110,Personal,Secured,225709.19,15.78,36,7910.77,2021-10-25,2024-10-09,Monthly,Closed,73,190041.97,300819.47,11.0,37563.03,LO146,BR19,True,3.0,284787.72,59078.53,False,0.7503,Medium
LOAN000043,CUST03921,Vehicle,Unsecured,289104.61,17.93,240,4446.22,2023-05-14,2043-01-29,Bi-Annual,Closed,16,264926.68,504319.57,1.0,41455.08,LO124,BR17,False,20.0,1067092.8,777988.19,False,0.5733,Low
LOAN000044,CUST08192,Home,Unsecured,46383.76,12.15,60,1035.3,2023-10-02,2028-09-05,Quarterly,Under Review,50,37350.8,38267.05,13.0,24083.81,LO164,BR41,False,5.0,62118.0,15734.24,False,1.2121,Medium
LOAN000045,CUST03966,Medical,Unsecured,173363.37,20.74,240,3046.15,2018-10-18,2038-07-05,Quarterly,Closed,42,129930.71,49714.96,2.0,19135.48,LO134,BR17,False,20.0,731076.0,557712.63,False,3.4871,Low
LOAN000046,CUST04447,Personal,Unsecured,180036.85,13.64,12,16134.51,2024-04-20,2025-04-15,Monthly,Closed,17,40559.62,280536.68,7.0,39149.45,LO175,BR15,False,1.0,193614.12,13577.27,False,0.6418,Medium
LOAN000047,CUST00127,Personal,Secured,158978.7,14.07,240,1985.02,2020-09-27,2040-06-14,Monthly,Active,215,99866.58,2592.32,3.0,3334.86,LO178,BR27,False,20.0,476404.8,317426.1,False,61.3268,Low
LOAN000048,CUST04530,Home,Secured,211102.11,14.08,60,5621.14,2020-04-14,2025-03-19,Bi-Annual,Active,37,163891.31,228302.64500000002,9.0,25383.190000000002,LO134,BR34,True,5.0,337268.4,126166.29,False,0.9247,Medium
LOAN000049,CUST03314,Business,Secured,1385075.8175,7.47,48,40224.8,2023-10-29,2027-10-08,Bi-Annual,Active,203,813103.9975,1577418.3025,0.0,33885.78,LO102,BR39,False,4.0,1930790.4,545714.58,False,0.8781,Low
LOAN000050,CUST04792,Wedding,Unsecured,244577.65,15.93,120,4086.33,2018-03-11,2028-01-18,Monthly,Closed,202,42354.26,292235.4,14.0,34816.45,LO166,BR30,False,10.0,490359.6,245781.95,False,0.8369,Medium
LOAN000051,CUST01537,Business,Secured,74376.23,15.18,120,1208.16,2023-07-05,2033-05-13,Quarterly,Active,6,54494.03,15268.32,10.0,5463.26,LO194,BR23,False,10.0,144979.2,70602.97,False,4.8713,Medium
LOAN000052,CUST06409,Home,Secured,449501.54,12.72,48,11996.63,2018-02-21,2022-01-31,Bi-Annual,Closed,141,42399.36,878185.41,19.0,22179.29,LO134,BR12,True,4.0,575838.24,126336.7,False,0.5119,Medium
LOAN000053,CUST09520,Travel,Unsecured,544791.91,13.19,240,6456.53,2020-06-24,2040-03-11,Monthly,Closed,35,485844.29,802910.46,1.0,3064.37,LO194,BR15,False,20.0,1549567.2,1004775.29,False,0.6785,Low
LOAN000054,CUST04826,Personal,Unsecured,464828.63,17.18,36,16614.08,2020-09-05,2023-08-21,Monthly,Closed,210,129764.32,672303.11,9.0,25750.33,LO157,BR30,False,3.0,598106.88,133278.25,False,0.6914,Medium
LOAN000055,CUST09914,Medical,Secured,148710.39,15.32,48,4162.88,2019-04-20,2023-03-30,Monthly,Under Review,109,52460.41,116905.53,14.0,30435.51,LO159,BR41,True,4.0,199818.24,51107.85,False,1.2721,Medium
LOAN000056,CUST05165,Personal,Unsecured,656795.31,16.66,24,32366.25,2021-12-07,2023-11-27,Monthly,Active,223,30229.81,536876.43,5.0,34979.2,LO118,BR13,False,2.0,776790.0,119994.69,False,1.2234,Low
LOAN000057,CUST02322,Education,Secured,422537.5,13.32,84,7760.49,2022-06-01,2029-04-25,Bi-Annual,Active,198,267231.47,204591.11,6.0,24585.08,LO160,BR31,True,7.0,651881.16,229343.66,False,2.0653,Medium
LOAN000058,CUST02755,Home,Unsecured,495410.47,14.08,84,8942.61,2022-09-08,2029-08-02,Monthly,Closed,218,3152.76,228302.64500000002,9.0,25383.190000000002,LO178,BR32,False,7.0,751179.24,255768.77,False,2.17,Medium
LOAN000059,CUST00163,Travel,Unsecured,384460.84,14.55,60,9055.73,2023-06-03,2028-05-07,Monthly,Active,36,83680.51,387895.77,11.0,10679.55,LO157,BR38,False,5.0,543343.8,158882.96,False,0.9911,Medium
LOAN000060,CUST07162,Home,Secured,582288.24,13.1,120,8728.57,2018-02-08,2027-12-18,Monthly,Active,86,5063.04,59103.07,3.0,19003.54,LO119,BR12,True,10.0,1047428.4,465140.16,False,9.8521,Low
LOAN000061,CUST03481,Business,Unsecured,291450.75,19.6,84,6402.0,2021-10-25,2028-09-18,Monthly,Closed,53,214123.7,82510.77,13.0,38696.73,LO165,BR16,True,7.0,537768.0,246317.25,False,3.5323,Medium
LOAN000062,CUST07309,Education,Unsecured,360363.69,20.02,120,6969.01,2020-03-02,2030-01-09,Monthly,Active,171,321247.27,93496.29,0.0,38612.51,LO103,BR27,False,10.0,836281.2,475917.51,False,3.8543,Low
LOAN000063,CUST04665,Personal,Unsecured,196395.29,7.64,60,3948.44,2020-10-14,2025-09-18,Monthly,Defaulted,98,155470.55,215064.75,0.0,27797.98,LO179,BR25,False,5.0,236906.4,40511.11,True,0.9132,High
LOAN000064,CUST04925,Medical,Unsecured,193048.34,7.42,180,1780.82,2018-06-14,2033-03-27,Monthly,Active,239,125540.73,154170.68,4.0,48385.22,LO117,BR11,False,15.0,320547.6,127499.26,False,1.2522,Low
LOAN000065,CUST04438,Education,Unsecured,1028672.53,10.98,12,44057.942500000005,2023-12-23,2024-12-17,Monthly,Closed,37,813103.9975,919027.73,8.0,39447.44,LO163,BR19,False,1.0,528695.31,-499977.22,False,1.1193,Medium
LOAN000066,CUST04306,Personal,Secured,175483.01,7.83,240,1449.3,2021-09-06,2041-05-24,Monthly,Closed,186,141110.44,245119.32,12.0,14594.49,LO158,BR38,True,20.0,347832.0,172348.99,False,0.7159,Medium
LOAN000067,CUST06769,Home,Unsecured,208988.87,14.87,24,10120.27,2018-12-21,2020-12-10,Monthly,Active,24,192543.55,351463.78,6.0,17197.14,LO195,BR35,True,2.0,242886.48,33897.61,False,0.5946,Medium
LOAN000068,CUST02617,Personal,Unsecured,199889.47,6.83,84,3000.28,2024-01-03,2030-11-27,Monthly,Active,196,19253.65,353184.74,10.0,1428.26,LO109,BR38,False,7.0,252023.52,52134.05,False,0.566,Medium
LOAN000069,CUST03499,Medical,Unsecured,342795.49,18.67,84,7340.06,2020-03-27,2027-02-19,Monthly,Closed,80,91617.48,548767.22,9.0,26928.14,LO138,BR49,False,7.0,616565.04,273769.55,False,0.6247,Medium
LOAN000070,CUST06769,Medical,Secured,83220.56,16.56,60,2048.61,2024-02-03,2029-01-07,Monthly,Under Review,23,25578.07,111348.65,8.0,12984.11,LO100,BR46,False,5.0,122916.6,39696.04,False,0.7474,Medium
LOAN000071,CUST09903,Vehicle,Secured,141659.74,9.78,240,1346.46,2022-04-28,2042-01-13,Monthly,Defaulted,110,133183.94,219727.15,2.0,5952.5,LO103,BR17,False,20.0,323150.4,181490.66,True,0.6447,High
LOAN000072,CUST00298,Personal,Unsecured,225155.49,11.61,60,4964.2,2018-08-24,2023-07-29,Monthly,Closed,24,134549.39,361803.1,18.0,46790.57,LO187,BR42,False,5.0,297852.0,72696.51,False,0.6223,Medium
LOAN000073,CUST01412,Education,Unsecured,284169.3,11.24,24,13276.2,2022-06-16,2024-06-05,Monthly,Active,12,126664.2,383561.17,5.0,20228.7,LO136,BR18,True,2.0,318628.8,34459.5,False,0.7409,Low
LOAN000074,CUST08601,Personal,Unsecured,100331.76,20.8,120,1992.48,2024-05-18,2034-03-27,Monthly,Defaulted,100,16362.36,133657.74,3.0,16158.33,LO148,BR27,True,10.0,239097.6,138765.84,True,0.7507,High
LOAN000075,CUST02850,Business,Unsecured,369260.67,20.25,180,6553.62,2022-07-08,2037-04-20,Monthly,Closed,95,182491.4,702328.53,19.0,41450.54,LO132,BR27,True,15.0,1179651.6,810390.93,False,0.5258,Medium
LOAN000076,CUST01592,Education,Unsecured,160583.44,15.25,36,5586.36,2020-01-19,2023-01-03,Monthly,Closed,69,156861.93,107868.72,9.0,35770.25,LO106,BR10,False,3.0,201108.96,40525.52,False,1.4887,Medium
LOAN000077,CUST07662,Business,Secured,289361.37,12.14,24,13640.17,2021-06-13,2023-06-03,Monthly,Active,42,65609.87,253007.41,15.0,27395.43,LO167,BR27,True,2.0,327364.08,38002.71,False,1.1437,Medium
LOAN000078,CUST08261,Home,Secured,624568.0,13.66,12,44057.942500000005,2024-02-21,2025-02-15,Monthly,Active,211,214949.76,896821.96,8.0,33940.81,LO163,BR19,False,1.0,528695.31,-95872.69,False,0.6964,Medium
LOAN000079,CUST02604,Education,Unsecured,311003.35,15.3,12,28114.68,2022-01-31,2023-01-26,Monthly,Closed,189,106109.72,126506.69,9.0,46958.62,LO176,BR44,False,1.0,337376.16,26372.81,False,2.4584,Medium
LOAN000080,CUST08135,Wedding,Unsecured,420227.76,14.13,84,7905.28,2022-09-03,2029-07-28,Monthly,Active,86,19569.35,527028.18,15.0,46400.49,LO169,BR24,True,7.0,664043.52,243815.76,False,0.7974,Medium
LOAN000081,CUST02140,Travel,Unsecured,110423.16,7.47,36,3433.33,2024-05-31,2027-05-16,Monthly,Defaulted,201,21895.46,219409.39,17.0,13059.22,LO112,BR18,True,3.0,123599.88,13176.72,True,0.5033,High
LOAN000082,CUST09034,Vehicle,Unsecured,77024.63,13.67,12,6903.87,2018-12-21,2019-12-16,Bi-Annual,Active,8,53440.43,147303.66,18.0,12677.42,LO160,BR26,False,1.0,82846.44,5821.81,False,0.5229,Medium
LOAN000083,CUST00158,Personal,Unsecured,543960.16,20.76,60,14642.61,2018-09-18,2023-08-23,Bi-Annual,Defaulted,226,147669.53,295250.93,1.0,19306.76,LO130,BR20,False,5.0,878556.6,334596.44,True,1.8424,High
LOAN000084,CUST05500,Business,Secured,902035.85,12.83,12,44057.942500000005,2018-06-25,2019-06-20,Quarterly,Active,225,417421.2,462096.06,0.0,7386.8,LO155,BR11,True,1.0,528695.31,-373340.54,False,1.9521,Low
LOAN000085,CUST05315,Wedding,Unsecured,803389.39,17.37,240,12010.69,2020-03-06,2039-11-22,Quarterly,Active,24,688813.32,177939.52,10.0,38518.93,LO114,BR12,True,20.0,2882565.6,2079176.21,False,4.515,Medium
LOAN000086,CUST06428,Home,Secured,116769.63,21.95,48,3675.78,2018-02-25,2022-02-04,Monthly,Closed,144,93298.1,73920.48,12.0,24831.84,LO165,BR48,False,4.0,176437.44,59667.81,False,1.5797,Medium
LOAN000087,CUST02663,Education,Unsecured,164632.87,15.06,12,14864.15,2024-02-01,2025-01-26,Bi-Annual,Active,88,136111.59,188525.92,1.0,15749.98,LO167,BR31,False,1.0,178369.8,13736.93,False,0.8733,Low
LOAN000088,CUST07024,Wedding,Unsecured,53372.76,13.99,60,1241.61,2022-12-11,2027-11-15,Monthly,Closed,163,41498.35,106199.56,3.0,19372.51,LO143,BR27,False,5.0,74496.6,21123.84,False,0.5026,Low
LOAN000089,CUST09941,Vehicle,Secured,134951.12,10.68,240,1363.68,2022-01-08,2041-09-25,Quarterly,Active,203,57808.51,96226.01,15.0,14681.32,LO157,BR15,True,20.0,327283.2,192332.08,False,1.4024,Medium
LOAN000090,CUST03285,Business,Unsecured,239478.05,10.05,84,3981.81,2023-12-03,2030-10-27,Bi-Annual,Closed,115,146788.11,469278.79,15.0,30803.61,LO195,BR12,False,7.0,334472.04,94993.99,False,0.5103,Medium
LOAN000091,CUST01195,Business,Secured,366117.63,15.11,240,4850.78,2022-04-26,2042-01-11,Monthly,Closed,114,71797.4,613179.24,1.0,23152.12,LO143,BR42,False,20.0,1164187.2,798069.57,False,0.5971,Low
LOAN000092,CUST04910,Personal,Secured,279490.27,16.98,120,4853.93,2020-05-22,2030-03-31,Monthly,Active,0,236904.12,429587.54,11.0,31357.27,LO119,BR28,False,10.0,582471.6,302981.33,False,0.6506,Medium
LOAN000093,CUST05077,Travel,Secured,573992.3,13.13,12,44057.942500000005,2024-03-24,2025-03-19,Quarterly,Active,89,42957.59,863261.13,13.0,32857.69,LO134,BR18,True,1.0,528695.31,-45296.99,False,0.6649,Medium
LOAN000094,CUST09627,Home,Unsecured,554934.95,6.53,84,8248.53,2018-04-26,2025-03-20,Monthly,Under Review,85,526232.32,258325.79,2.0,9581.92,LO146,BR48,True,7.0,692876.52,137941.57,False,2.1482,Low
LOAN000095,CUST09053,Business,Unsecured,262814.64,15.18,84,5098.05,2020-11-25,2027-10-20,Bi-Annual,Closed,229,217827.05,41255.1,0.0,36873.24,LO120,BR39,False,7.0,428236.2,165421.56,False,6.3705,Low
LOAN000096,CUST01035,Personal,Unsecured,464744.35,15.36,120,7600.74,2018-08-14,2028-06-22,Bi-Annual,Defaulted,43,94970.67,862710.3,2.0,2074.61,LO114,BR48,True,10.0,912088.8,447344.45,True,0.5387,High
LOAN000097,CUST00327,Education,Unsecured,274590.09,7.63,12,23839.21,2021-04-29,2022-04-24,Monthly,Active,203,209041.63,209370.53,15.0,38072.69,LO149,BR36,False,1.0,286070.52,11480.43,False,1.3115,Medium
LOAN000098,CUST05353,Personal,Secured,627526.45,8.07,60,12745.01,2021-01-02,2025-12-07,Quarterly,Closed,41,205182.11,422058.85,13.0,32948.3,LO137,BR40,False,5.0,764700.6,137174.15,False,1.4868,Medium
LOAN000099,CUST06723,Personal,Unsecured,737021.92,11.22,60,16105.62,2019-02-05,2024-01-10,Monthly,Active,179,519264.69,167842.78,18.0,27845.97,LO121,BR35,True,5.0,966337.2,229315.28,False,4.3911,Medium
LOAN000100,CUST05537,Personal,Unsecured,327858.45,15.77,36,11489.34,2022-05-12,2025-04-26,Monthly,Active,98,53187.78,250172.41,3.0,4050.68,LO183,BR28,True,3.0,413616.24,85757.79,False,1.3105,Low
LOAN000101,CUST00815,Education,Unsecured,367045.23,14.08,120,4697.38,2018-11-01,2028-09-09,Monthly,Closed,172,315321.22,228302.64500000002,9.0,25383.190000000002,LO104,BR18,True,10.0,563685.6,196640.37,False,1.6077,Medium
LOAN000102,CUST00112,Personal,Secured,369276.43,11.84,36,12237.06,2022-06-11,2025-05-26,Quarterly,Active,220,245746.13,432336.7,11.0,31143.7,LO188,BR36,False,3.0,440534.16,71257.73,False,0.8541,Medium
LOAN000103,CUST02729,Medical,Secured,215630.16,8.78,48,5343.47,2022-07-21,2026-06-30,Quarterly,Active,140,59596.82,419234.77,9.0,24596.93,LO111,BR25,True,4.0,256486.56,40856.4,False,0.5143,Medium
LOAN000104,CUST05385,Business,Secured,717206.08,11.7,60,15845.34,2019-02-05,2024-01-10,Monthly,Active,1,636949.44,1300837.21,16.0,1317.82,LO114,BR24,True,5.0,950720.4,233514.32,False,0.5513,Medium
LOAN000105,CUST04748,Home,Unsecured,71296.83,17.79,120,1275.04,2020-04-04,2030-02-11,Monthly,Active,21,41381.36,46828.98,5.0,45161.59,LO194,BR23,False,10.0,153004.8,81707.97,False,1.5225,Low
LOAN000106,CUST05260,Business,Unsecured,315967.34,12.29,48,8365.69,2018-01-15,2021-12-25,Monthly,Active,118,237890.29,536703.56,1.0,44209.29,LO166,BR17,False,4.0,401553.12,85585.78,False,0.5887,Low
LOAN000107,CUST09826,Travel,Secured,419749.62,19.17,180,7115.98,2022-06-16,2037-03-29,Monthly,Active,62,414917.24,671296.74,12.0,283.81,LO106,BR22,False,15.0,1280876.4,861126.78,False,0.6253,Medium
LOAN000108,CUST02739,Wedding,Secured,258976.95,20.88,240,4579.11,2020-04-03,2039-12-20,Monthly,Closed,68,116050.5,66313.22,9.0,49759.91,LO167,BR20,False,20.0,1098986.4,840009.45,False,3.9054,Medium
LOAN000109,CUST08162,Personal,Secured,182088.76,11.26,240,1911.82,2021-09-04,2041-05-22,Monthly,Active,129,44589.85,20045.87,2.0,35559.28,LO121,BR32,False,20.0,458836.8,276748.04,False,9.0836,Low
LOAN000110,CUST02846,Travel,Unsecured,655979.92,16.14,48,18637.72,2021-03-09,2025-02-16,Monthly,Closed,194,546846.68,614963.89,11.0,42102.02,LO199,BR36,False,4.0,894610.56,238630.64,False,1.0667,Medium
LOAN000111,CUST08617,Home,Unsecured,91856.89,10.57,24,4262.94,2023-11-26,2025-11-15,Monthly,Active,156,16395.59,94797.26,12.0,24526.16,LO187,BR21,False,2.0,102310.56,10453.67,False,0.969,Medium
LOAN000112,CUST08067,Personal,Secured,478227.31,15.32,240,6410.61,2021-12-02,2041-08-19,Monthly,Closed,208,113868.39,907342.45,2.0,14970.73,LO183,BR15,False,20.0,1538546.4,1060319.09,False,0.5271,Low
LOAN000113,CUST04023,Personal,Unsecured,197695.33,14.08,12,17229.22,2020-03-04,2021-02-27,Monthly,Active,204,86341.13,228302.64500000002,9.0,25383.190000000002,LO177,BR21,False,1.0,206750.64,9055.31,False,0.8659,Medium
LOAN000114,CUST03962,Home,Secured,90620.16,15.84,60,2196.01,2024-06-06,2029-05-11,Quarterly,Closed,22,79810.01,67530.67,11.0,40385.51,LO141,BR50,True,5.0,131760.6,41140.44,False,1.3419,Medium
LOAN000115,CUST02407,Vehicle,Unsecured,317423.28,9.18,84,5136.09,2022-09-14,2029-08-08,Bi-Annual,Closed,65,107920.46,253341.84,14.0,25795.74,LO132,BR39,True,7.0,431431.56,114008.28,False,1.2529,Medium
LOAN000116,CUST00490,Personal,Unsecured,98010.11,12.6,24,4641.19,2018-12-28,2020-12-17,Monthly,Active,24,84404.75,99572.68,17.0,42170.31,LO180,BR27,False,2.0,111388.56,13378.45,False,0.9843,Medium
